Название,Темы,Даты,Город,Ссылка
ИТ-КУБОК ГОЛДБЕРГА-2019,Тема: строительство машин Голдберга среди ИТ-компаний Новосибирска.,: 1 марта 2019 года,Новосибирск,https://leader-id.ru/event/14291/
Хакатон HR,Тема: управления человеческим капиталом,: 28.02-1.03 2019 года,Санкт-Петербург,https://forum-truda.expoforum.ru/khakaton?utm_source=main&utm_medium=texst&utm_term=2019
Большой хакатон «Практики Будущего»,,: 26-28 февраля 2019 года,Калининград,http://ntinews.ru/event/bolshoy-khakaton-praktiki-budushchego.html?bx_sender_conversion_id=16808&fbclid=IwAR2uo5XLQflh32MiGbnhMWbg4HtdvUenAH1yCOrI5TFnRomT8E062p_Wm0Q
SNA Hackathon 2019,,:,Онлайн,https://mlbootcamp.ru/round/17/tasks/
Хакатон Phystech Genesis,На хакатоне будет предложено два трека:,: 23-24 февраля 2019 года,Москва,http://pgenesis.ru/february
Нейрохакатон,Тема: решение задач в области нейротехнологий с целью развития ключевых сегментов рынка Нейронет НТИ.,: 19-21 февраля 2019 года,Томск,https://leader-id.ru/event/15391/
Credits online-hackathon,,: 8 декабря-6 января,Онлайн,https://credits.com/en/Home/New_Ins/4194
GIS Tech Hack,Тема: ML/Computer Vision для геоданных и конкурс идей на тему применения дронов для авиакомпаний,: 14-15декабря,Онлайн,http://gistechrussia.ru/
Hackathon RAIF 2018,Тема : Machine Learning,: 23 октября,Онлайн,http://raif.jet.su/hackathon/
Kaspersky Start Russia,Тема : конкурс идей по поиску и защите от угроз будущего,: финал 13 декабря,Онлайн,http://www.kasperskystart.com
JETHACK,Тема : решение задачи по соотношению облака точек заданной 3D-модели,: 20-21 октября,Онлайн,https://job.jet.su/khakaton/
MIX HACK,Тема: Решения актуальных задач рынка труда в условиях перехода к Цифровой экономике.,: 5 сентября – Отбор команд,Онлайн,http://expo.trainings.ru/hackathon
Ucraft Awards,Тема: веб-сайт билдинг, : 31 июля - 31 августа,Онлайн,https://awards.ucraft.ru
Хакатон для школьников в AR/VR среде.,Тема: Урбанистика и городское планирование,: 31 августа,Онлайн,http://evtoolbox.ru/projects/hakaton-na-go/
NaviHack,"Тема: работа с кейсами организаторов или реализация своих идей, используя платформу для глобальной адресации Naviaddress",: 20-30 сентября,Онлайн,http://bit.ly/2NHrLLx
PIK Digital Day,Тема: поиск готовых ИТ-решений для строительства,: 13 июня -09 июля,Онлайн,https://day.pik.digital/
Smart-City 2018 Vitebsk,Тема: Модернизация города Витебска,: 22-24 июня Витебск,Онлайн,https://it-events.com/events/12028
DeepHack.Сhat,Тема: Создание умных чатботов,: 2-8 июля,Онлайн,http://deephack.me/chat
Команда приложения Photo Lab проводит Хакатон к ЧМ-2018.,Тема: создание мобильного приложения или web-сервиса для болельщиков на основе технологий Photo Lab,: 10-12 июня,Онлайн,http://hack.photolab.me/
Yandex.Taxi Coding Fest,Тема: Транспорт,": Отборочный тур 14–21 июля, Финальный тур 28 июля",Онлайн,https://taxi.yandex.ru/action/ytcf/coding_fest
AI.Hack – серия хакатонов в Москве и Санкт-Петербурге,,: Санкт-Петербург (9-11 марта);,Санкт-Петербург,http://aihack.ai-hub.ru/
"Хакатон ""ОТТЕПЕЛЬ""",,: Саратов (23-25 марта),Саратов,http://ottepel.youcon.ru/
Хакатон по генерации идей в поддержку российского параатлета Дмитрия Павленко,,: Москва (24 марта),Москва,http://mospolytech.ru/news_new.php?id=10310
Федеральный хакатон Лиги Роботов,,: Москва (26-30 марта),Москва,https://ligarobotov.ru/news/2018/02/13/federalnyjj-khakaton/
HACK the Material!Mendeleev Hackathon Новые материалы и их компьютерный дизайн,,: Москва (31 марта - 1 апреля),Москва,http://hackathon.muctr.ru/
Blockchain Founder Hackathon,Тема: Блокчейн Технологии,: Москва (31 марта - 1 апреля),Москва,https://blockchainfounder.ru/hackathon
DATA MONITOR,Тема: Социальные проекты на основе открытых данных,: Санкт-Петербург (30 марта - 1 апреля),Санкт-Петербург,https://dm18.te-st.ru/
SPbU GameJam 2018,,: Санкт-Петербург (31 марта - 1 апреля),Санкт-Петербург,https://vk.com/spbu_gamejam
HR HACKATHON RUSSIA,Тема: HR технологии,: Москва (4-5 апреля),Москва,http://hr-tech.ru/hackathon
HAHATHON МТС 2018,Тема: IT-технологии,: Казань (7-8 апреля),Казань,https://hahathonmts.ru/
АВИАХАКАТОН,Тема: Информационные технологии,: Москва (6-8 апреля),Москва,https://mai.ru/aviahackathon/
Unblock Blockchain Hackathon,,: Москва (6-8 апреля),Москва,https://binarydistrict.com/ru/courses/blockchain-hackathon/
HACK THE MEDIA,"Тема: Медиа-технологии,",: Москва (7-8 апреля),Москва,https://hackthemedia.ru/
Unity AI хакатон,,: Санкт-Петербург (7-8 апреля),Санкт-Петербург,http://uugspb.club/hack2/index.html
Хакатон 2018,Тема: разработка игр,: Екатеринбург (7-8 апреля),Екатеринбург,https://eventskbkontur.timepad.ru/event/689074/
ВЗЛЁТ - Маркетинг в киберспорте,Тема: Digital-коммуникации,: Онлайн (9-27 марта) и,Онлайн,http://digital-vzlet.ru/
"Хакатон по прикладным играм в рамах конференции «Work, Play&Create 2018»",Тема: прикладные игры,: Москва ( 13 - 14 апреля),Москва,https://wpcconf.ru/
PandaHack 2018,Тема: информационные технологии,: Москва ( 15 апреля),Москва,https://pandahack.mirea.ru/
Виртуальная и дополнительная реальность (AVRA HACK),Тема: VR- технологии,: Москва (13 - 15 апреля),Москва,https://avrahackathon.ru/
AplaBlockchainHack,Тема: прикладные игры,: Москва ( 13 - 15 апреля),Москва,http://actum.online/events/aplablockchainhack/
Hackaton Barnaul,,: Барнаул ( 13 - 15 апреля),Барнаул,http://actum.online/events/hackaton-barnaul/
HACKUNIVERSITY,Всероссийский Университетский МегаХакатон,: Санкт-Петербург (13-15 апреля),Санкт-Петербург,http://hackuniversity.ru/
"Хакатон ""Против пожара""",Тема: Дизайн- мышление,: Москва (21 апреля),Москва,https://dtcenter.ru/hackathon/fire
do_action moscow,Тема: социальные технологии,: Москва (21 - 22 апреля),Москва,https://it-events.com/events/11686
Hack.Moscow,,: Москва (20- 22 апреля),Москва,https://hack.moscow/
SmartMail Hack 2018,,: Москва (20- 22 апреля),Москва,https://corp.mail.ru/ru/press/events/452/
BlockChain Cup,,: Санкт-Петербург (21 - 22 апреля),Санкт-Петербург,http://blockchaincup.info/
Педагогический хакатон Юга России «Инновационные образовательные решения».,Тема: сфера образования,: Ростов-на-Дону (20 - 22 апреля),Ростов-на-Дону,http://pedhack.pro/
Четвертый Агрохакатон в сфере агродизайна и сити-фермерства (Агрохакатон),Тема: создание умных конструкций для выращивания съедобных и лекарственных растений в городских условиях.,: Москва (27 - 29 апреля),Москва,http://agrohack.ru/
LifeCode 2018,Тема: Хакатон по биоинформатике в НГУ,": Москва, (30 - 2 мая)",Москва,http://lifecode.site/
UniversaHack,,: Владивосток (11-13 мая),Владивосток,https://leader-id.ru/event/6498/
Хакатон №1,Тема: Хакатон для медиахудожников,": Санкт-Петербург, (12 мая)",Санкт-Петербург,https://vk.com/media_hack
bizHack,Тема: Чемпионат «IT-решения и инновации для бизнеса»,": Москва, (12-13 мая)",Москва,https://it-events.com/events/11738
Хакатон Нейростарт,Тема: Нейротехнологии,": Владивосток, (15-19 мая)",Владивосток,https://neurostart.ru/
